palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
pez, sustantivo, fish, The colorful fish swim gracefully., 魚, さかな, 鮮やかな魚が優雅に泳ぐ, あざやかなさかながゆうがにおよぐ
tiburón, sustantivo, shark, The shark glided through the water effortlessly., サメ, さめ, サメは水を滑るように移動した, さめはみずをすべるようにいどうした
coral, sustantivo, coral, The coral reef is teeming with life., サンゴ, さんご, サンゴ礁は生命で溢れている, さんごしょうはせいめいであふれている
medusa, sustantivo, jellyfish, The jellyfish pulsated gently in the water., クラゲ, くらげ, クラゲが水中でゆっくりと脈打った, くらげがすいちゅうでゆっくりとみゃくたった
acuario, sustantivo, aquarium, The aquarium is filled with colorful marine life., 水族館, すいぞくかん, 水族館は色鮮やかな海洋生物で満たされています, すいぞくかんはいろあざやかなかいようせいぶつでみたされています
pecera, sustantivo, fish tank, The fish tank needs to be cleaned., 水槽, すいそう, 水槽を掃除する必要があります, すいそうをそうじするひつようがあります
nadador, sustantivo, swimmer, The dolphins are skilled swimmers., 泳ぎ手, およぎて, イルカは熟練した泳ぎ手です, いるかはじゅくれんしたおよぎてです
coralino, adjetivo, coral, The coral reef is home to many colorful fish., サンゴの, さんごの, サンゴ礁は多くの色鮮やかな魚の住処です, さんごしょうはおおくのいろあざやかなさかなのすみかです
marino, adjetivo, marine, The marine biologist studies ocean life., 海洋の, かいようの, 海洋生物学者は海洋生物を研究しています, かいようせいぶつがくしゃはかいようせいぶつをけんきゅうしています
tanque, sustantivo, tank, The shark is in the large tank., タンク, たんく, サメは大きなタンクの中にいます, さめはおおきなたんくのなかにいます
caballito de mar, sustantivo, seahorse, The seahorse gracefully swims among the coral., タツノオトシゴ, たつのおとしご, タツノオトシゴはサンゴの間を優雅に泳ぎます, たつのおとしごはさんごのあいだをゆうがにおよぎます
pez payaso, sustantivo, clownfish, The clownfish hides in the anemone., クマノミ, くまのみ, クマノミはクラゲの中に隠れています, くまのみはくらげのなかにかくれています
pulpo, sustantivo, octopus, The octopus changes color to blend with its surroundings., タコ, たこ, タコは周囲に溶け込むために色を変えます, たこはしゅういにとけこむためにいろをかえます
estrella de mar, sustantivo, starfish, The starfish clings to the rock., ヒトデ, ひとで, ヒトデは岩にしがみついています, ひとではいわにしがみついています
raya, sustantivo, stingray, The stingray glides gracefully through the water., エイ, えい, エイは水を優雅に滑ります, えいはみずをゆうがにすべります
nadar, verbo, swim, The dolphins swim playfully in the tank., 泳ぐ, およぐ, イルカはタンクで楽しそうに泳いでいます, いるかはたんくでたのしそうにおよいでいます
tortuga marina, sustantivo, sea turtle, The sea turtle glides gracefully through the water., ウミガメ, うみがめ, ウミガメは水を優雅に滑ります, うみがめはみずをゆうがにすべります
caracol, sustantivo, snail, The snail moves slowly across the tank., カタツムリ, かたつむり, カタツムリはゆっくりとタンクを移動します, かたつむりはゆっくりとたんくをいどうします
algas, sustantivo, seaweed, The seaweed sways gently in the current., 海藻, かいそう, 海藻は流れの中で優しく揺れます, かいそうはながれのなかでやさしくゆれます
anémona, sustantivo, anemone, The clownfish hides in the anemone., クラゲ, くらげ, クマノミはクラゲの中に隠れています, くまのみはくらげのなかにかくれています
delfín, sustantivo, dolphin, The dolphins swim playfully in the tank., イルカ, いるか, イルカはタンクで楽しそうに泳いでいます, いるかはたんくでたのしそうにおよいでいます
piscina, sustantivo, pool, The pool is filled with colorful fish., プール, ぷーる, プールは色鮮やかな魚で満たされています, ぷーるはいろあざやかなさかなでみたされています
esponja marina, sustantivo, sea sponge, The sea sponge provides habitat for many tiny organisms., 海綿, かいめん, 海綿は多くの小さな生物の生息地を提供します, かいめんはおおくのちいさなせいぶつのせいそくちをていきょうします
corriente, sustantivo, current, The current carries nutrients to the coral reef., 流れ, ながれ, 流れは栄養をサンゴ礁に運びます, ながれはえいようをさんごしょうにはこびます
morsa, sustantivo, walrus, The walrus basks lazily in the sun., セイウチ, せいうち, セイウチは日光浴を怠惰に楽しんでいます, せいうちはにっこうよくをたいだにたいたの楽しんでいます
pulmones, sustantivo, lungs, The fish use their gills to extract oxygen from the water., 肺, はい, 魚はエラを使って水から酸素を取り出します, さかなはえらをつかってみずからさんそをとりだします
tiburón ballena, sustantivo, whale shark, The whale shark is the largest fish in the sea., ジンベエザメ, じんべえざめ, ジンベエザメは海で最大の魚です, じんべえざめはうみでさいだいのさかなです
