palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
barra, sustantivo, bar, I sat at the bar and ordered a drink., バー, ばー, バーに座って飲み物を注文しました, ばーにすわってのみものをちゅうもんしました
cerveza, sustantivo, beer, I ordered a cold beer., ビール, びーる, 冷たいビールを注文しました, つめたいびーるをちゅうもんしました
vino, sustantivo, wine, The waiter recommended a red wine., ワイン, わいん, ウェイターが赤ワインをお勧めしました, うぇいたーがあかわいんをおすすめしました
cóctel, sustantivo, cocktail, I ordered a fruity cocktail., カクテル, かくてる, フルーティなカクテルを注文しました, ふるーてぃなかくてるをちゅうもんしました
taburete, sustantivo, stool, I sat on a bar stool., スツール, すつーる, バースツールに座りました, ばーすつーるにすわりました
bartender, sustantivo, bartender, The bartender mixed my drink., バーテンダー, ばーてんだー, バーテンダーが私のドリンクを混ぜました, ばーてんだーがわたしのどりんくをまぜました
vaso, sustantivo, glass, The bartender handed me a glass., グラス, ぐらす, バーテンダーが私にグラスを渡しました, ばーてんだーがわたしにぐらすをわたしました
alcohol, sustantivo, alcohol, The bar serves a variety of alcoholic beverages., アルコール, あるこーる, バーではさまざまなアルコール飲料が提供されています, ばーではさまざまなあるこーるいんりょうがていきゅうされています
mezclador, sustantivo, mixer, The bartender used a mixer to prepare my drink., ミキサー, みきさー, バーテンダーが私のドリンクを作るためにミキサーを使いました, ばーてんだーがわたしのどりんくをつくるためにみきさーをつかいました
cliente, sustantivo, customer, The bar was crowded with customers., 顧客, こきゃく, バーは顧客で混雑していました, ばーはこきゃくでこんざつしていました
ambiente, sustantivo, atmosphere, The bar had a lively atmosphere., 雰囲気, ふんいき, バーは活気に満ちた雰囲気でした, ばーはかっきにみちたふんいきでした
coctelera, sustantivo, shaker, The bartender used a shaker to mix the cocktails., シェーカー, しぇーかー, バーテンダーはカクテルを混ぜるためにシェーカーを使いました, ばーてんだーはかくてるをまぜるためにしぇーかーをつかいました
barra de bar, sustantivo, bar counter, I leaned against the bar counter., バーカウンター, ばーかうんたー, バーカウンターにもたれました, ばーかうんたーにもたれました
picoteo, sustantivo, snack, The bar serves snacks with the drinks., スナック, すなっく, バーでは飲み物と一緒にスナックが提供されます, ばーではのみものといっしょにすなっくがていきゅうされます
aguardiente, sustantivo, liquor, The bar offers a selection of liquors., リカー, りかー, バーでは様々なリカーが提供されています, ばーではさまざまなりかーがていきゅうされています
bandeja, sustantivo, tray, The waitress carried a tray of drinks., トレイ, とれい, ウェイトレスがトレイに飲み物を運んでいました, うぇいとれすがとれいにのみものをはこんでいました
música, sustantivo, music, The bar had live music on Fridays., 音楽, おんがく, バーは金曜日にライブ音楽がありました, ばーはきんようびにらいぶおんがくがありました
luz tenue, sustantivo, dim light, The bar was illuminated by dim light., 薄暗い明かり, うすぐらいあかり, バーは薄暗い明かりで照らされていました, ばーはうすぐらいあかりでてらされていました
chupito, sustantivo, shot, I ordered a shot of tequila., ショット, しょっと, 私はテキーラのショットを注文しました, わたしはてきーらのしょっとをちゅうもんしました
ambiente animado, sustantivo, lively atmosphere, The bar had a lively atmosphere., 活気のある雰囲気, かっきのあるふんいき, バーは活気のある雰囲気でした, ばーはかっきのあるふんいきでした
