palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
lavabo, sustantivo, sink, Please wash your hands in the sink., 洗面台, せんめんだい, 洗面台で手を洗ってください, せんめんだいでてをあらってください
ducha, sustantivo, shower, I take a shower every morning., シャワー, しゃわー, 毎朝シャワーを浴びます, まいあさしゃわーをあびます
inodoro, sustantivo, toilet, The toilet is clogged., トイレ, といれ, トイレが詰まっています, といれがつまっています
toalla, sustantivo, towel, Please dry your hands with a towel., タオル, たおる, タオルで手を拭いてください, たおるでてをふいてください
cepillo de dientes, sustantivo, toothbrush, Don't forget to brush your teeth., 歯ブラシ, はぶらし, 歯を磨くのを忘れないでください, はをみがくのをわすれないでください
espejo, sustantivo, mirror, I look at myself in the mirror., 鏡, かがみ, 鏡で自分を見ます, かがみでじぶんをみます
jabón, sustantivo, soap, Please use soap to wash your hands., 石鹸, せっけん, 手を洗う時には石鹸を使ってください, てをあらうときにはせっけんをつかってください
bañera, sustantivo, bathtub, I like to relax in the bathtub., 浴槽, よくそう, 浴槽でリラックスするのが好きです, よくそうでリラックスするのがすきです
papel higiénico, sustantivo, toilet paper, Please replace the toilet paper when it's finished., トイレットペーパー, といれっとぺーぱー, トイレットペーパーがなくなったら交換してください, といれっとぺーぱーがなくなったらこうかんしてください
cortina de baño, sustantivo, shower curtain, The shower curtain keeps the water from splashing out., シャワーカーテン, しゃわーかーてん, シャワーカーテンは水しぶきを防ぎます, しゃわーかーてんはみずしぶきをふせぎます
lavamanos, sustantivo, washbasin, Please wash your face in the washbasin., 洗面器, せんめんき, 洗面器で顔を洗ってください, せんめんきでかおをあらってください
toallero, sustantivo, towel rack, Hang your towel on the towel rack., タオル掛け, たおるかけ, タオルをタオル掛けにかけてください, たおるをたおるかけにかけてください
gel de ducha, sustantivo, shower gel, I like to use scented shower gel., シャワージェル, しゃわーじぇる, 香りのするシャワージェルを使うのが好きです, かおりのするしゃわーじぇるをつかうのがすきです
toallita, sustantivo, washcloth, Use a washcloth to scrub your back., ウォッシュクロス, うぉっしぇくろす, 背中を洗うのにウォッシュクロスを使ってください, せなかをあらうのにうぉっしぇくろすをつかってください
lavaplatos, sustantivo, dishwasher, Please load the dishes into the dishwasher., 食器洗い機, しょっきあらいき, 食器を食器洗い機に入れてください, しょっきをしょっきあらいきにいれてください
suelo, sustantivo, floor, The floor is wet., 床, ゆか, 床が濡れています, ゆかがぬれています
esponja, sustantivo, sponge, Use a sponge to clean the sink., スポンジ, すぽんじ, 洗面台を掃除するのにスポンジを使ってください, せんめんだいをそうじするのにすぽんじをつかってください
grifo, sustantivo, faucet, Turn off the faucet to save water., 蛇口, じゃぐち, 水を節約するために蛇口を閉めてください, みずをせつやくするためにじゃぐちをしめてください
