palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
novia, sustantivo, bride, The bride looked stunning in her wedding dress., 花嫁, はなよめ, 花嫁はウェディングドレスで見事でした, はなよめはうぇでぃんぐどれすでみごとでした
novio, sustantivo, groom, The groom waited nervously at the altar., 新郎, しんろう, 新郎は祭壇で緊張して待っていました, しんろうはさいだんできんちょうしてまっていました
boda, sustantivo, wedding, The wedding ceremony was held in a beautiful church., 結婚式, けっこんしき, 結婚式は美しい教会で行われました, けっこんしきはうつくしいきょうかいでおこなわれました
anillo, sustantivo, ring, The bride wore a diamond ring on her finger., 指輪, ゆびわ, 花嫁は指にダイヤモンドの指輪を付けていました, はなよめはゆびにだいやもんどのゆびわをつけていました
iglesia, sustantivo, church, The wedding took place in a small village church., 教会, きょうかい, 結婚式は小さな村の教会で行われました, けっこんしきはちいさなむらのきょうかいでおこなわれました
vestido, sustantivo, dress, The bride wore a beautiful white dress., ドレス, どれす, 花嫁は美しい白いドレスを着ていました, はなよめはうつくしいしろいどれすをきていました
fiesta, sustantivo, party, The wedding party lasted until late at night., パーティー, ぱーてぃー, 結婚式のパーティーは夜遅くまで続きました, けっこんしきのぱーてぃーはよるおそくまでつづきました
invitado, sustantivo, guest, The guests congratulated the newlyweds., ゲスト, げすと, ゲストは新郎新婦にお祝いの言葉を述べました, げすとはしんろうしんぷにおいわいのことばをのべました
brindis, sustantivo, toast, The best man gave a heartfelt toast to the newlyweds., 乾杯, かんぱい, 付き添いの人が新郎新婦に心からの乾杯を述べました, つきそいのひとがしんろうしんぷにこころからのかんぱいをのべました
ramo, sustantivo, bouquet, The bride tossed the bouquet to the unmarried women., 花束, はなたば, 花嫁が花束を独身女性たちに投げました, はなよめがはなたばをどくしんじょせいたちになげました
fotógrafo, sustantivo, photographer, The photographer captured beautiful moments throughout the wedding., 写真家, しゃしんか, 写真家は結婚式全体の美しい瞬間を捉えました, しゃしんかはけっこんしきぜんたいのうつくしいしゅんかんをとらえました
pastel, sustantivo, cake, The wedding cake was adorned with fresh flowers., ケーキ, けーき, 結婚式のケーキには新鮮な花が飾られていました, けっこんしきのけーきにはしんせんなはながかざられていました
testigo, sustantivo, witness, The couple signed the marriage certificate with witnesses present., 証人, しょうにん, カップルは証人の前で結婚証明書に署名しました, かっぷるはしょうにんのまえでけっこんしょうめいしょにしょめいしました
baile, sustantivo, dance, The bride and groom shared their first dance., ダンス, だんす, 花嫁と新郎は最初のダンスを共にしました, はなよめとしんろうはさいしょのだんすをともにしました
ceremonia, sustantivo, ceremony, The wedding ceremony was short and sweet., 式, しき, 結婚式の式は短くて甘かったです, けっこんしきのしきはみじかくてあまかったです
anfitrión, sustantivo, host, The host greeted the guests warmly., ホスト, ほすと, ホストはゲストを温かく迎えました, ほすとはげすとをあたたかくむかえました
fiesta, sustantivo, celebration, The wedding was a joyous celebration of love., 祝い, いわい, 結婚式は愛の喜びに満ちた祝いでした, けっこんしきはあいのよろこびにみちたいわいでした
luna de miel, sustantivo, honeymoon, The newlyweds left for their honeymoon in Hawaii., ハネムーン, はねむーん, 新婚夫婦はハワイへのハネムーンに出発しました, しんこんふうふははわいへのはねむーんにしゅっぱつしました
boda, sustantivo, nuptials, The couple exchanged vows during their nuptials., 婚礼, こんれい, カップルは婚礼の間に誓いを交わしました, かっぷるはこんれいのあいだにちかいをかわしました
enlace, sustantivo, link, The wedding ceremony was a beautiful link between two families., 結びつき, むすびつき, 結婚式は二つの家族の間の美しい結びつきでした, けっこんしきはふたつのかぞくのあいだのうつくしいむすびつきでした
recién casados, sustantivo, newlyweds, The newlyweds looked radiant as they left the church., 新婚夫婦, しんこんふうふ, 新婚夫婦は教会を出る時、輝いて見えました, しんこんふうふはきょうかいをでるとき、かがやいてみえました
velo, sustantivo, veil, The bride wore a long veil over her face., ベール, べーる, 花嫁は顔に長いベールを着用していました, はなよめはかおにながいべーるをちゃくようしていました
felicidad, sustantivo, happiness, The wedding was a celebration of love and happiness., 幸せ, しあわせ, 結婚式は愛と幸せの祝いでした, けっこんしきはあいとしあわせのいわいでした
banquete, sustantivo, banquet, The wedding banquet featured a variety of delicious dishes., 祝宴, しゅくえん, 結婚式の祝宴にはさまざまな美味しい料理が並びました, けっこんしきのしゅくえんにはさまざまなおいしいりょうりがならびました
familia, sustantivo, family, The wedding brought together family and friends., 家族, かぞく, 結婚式は家族や友人を一堂に集めました, けっこんしきはかぞくやゆうじんをいちどうにあつめました
bailarina, sustantivo, dancer, The bride was a graceful dancer., ダンサー, だんさー, 花嫁は優雅なダンサーでした, はなよめはゆうがなだんさーでした
emoción, sustantivo, emotion, There was a lot of emotion during the wedding ceremony., 感情, かんじょう, 結婚式の式ではたくさんの感情がありました, けっこんしきのしきではたくさんのかんじょうがありました
tradición, sustantivo, tradition, The wedding ceremony included many traditional customs., 伝統, でんとう, 結婚式には多くの伝統的な習慣が含まれていました, けっこんしきにはおおくのでんとうてきなしゅうかんがふくまれていました
invitación, sustantivo, invitation, I received a beautiful invitation to the wedding., 招待状, しょうたいじょう, 結婚式への美しい招待状を受け取りました, けっこんしきへのうつくしいしょうたいじょうをうけとりました
pastor, sustantivo, pastor, The pastor officiated the wedding ceremony., 牧師, ぼくし, 牧師が結婚式の儀式を執り行いました, ぼくしがけっこんしきのぎしきをとりおこないました
coro, sustantivo, choir, The church choir sang beautiful hymns during the wedding., 聖歌隊, せいかたい, 教会の聖歌隊は結婚式の間美しい賛美歌を歌いました, きょうかいのせいかたいはけっこんしきのあいだうつくしいさんびかをうたいました
dama de honor, sustantivo, maid of honor, The maid of honor helped the bride with her dress., メイドオブオナー, めいどおぶおなー, メイドオブオナーが花嫁のドレスの手助けをしました, めいどおぶおなーがはなよめのどれすのてつだけをしました
padrino, sustantivo, best man, The best man gave a heartfelt speech at the reception., ベストマン, べすとまん, ベストマンが披露宴で心からのスピーチをしました, べすとまんがひろうえんでこころからのすぴーちをしました
regalo, sustantivo, gift, The newlyweds received many gifts from their guests., プレゼント, ぷれぜんと, 新婚夫婦は多くのゲストからプレゼントを受け取りました, しんこんふうふはおおくのげすとからぷれぜんとをうけとりました
serenata, sustantivo, serenade, The groom surprised the bride with a serenade., セレナーデ, せれなーで, 新郎が花嫁にセレナーデでサプライズをしました, しんろうがはなよめにせれなーですぷらいずをしました
