palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
bosque, sustantivo, forest, The forest is filled with tall trees and lush vegetation., 森, もり, 森は高い木と豊かな植生でいっぱいです, もりはたかいきとゆたかなしょくせいでいっぱいです
árbol, sustantivo, tree, The tree provided shade on a hot summer day., 木, き, その木は暑い夏の日に日陰を提供しました, そのきはあついなつのひにひかげをていきょうしました
hoja, sustantivo, leaf, The ground was covered with colorful autumn leaves., 葉, は, 地面は色とりどりの秋の葉で覆われていました, じめんはいろとりどりのあきのはでおおわれていました
sendero, sustantivo, trail, The trail winds through the forest and leads to a beautiful waterfall., トレイル, とれいる, その道は森を抜けて美しい滝に至ります, そのみちはもりをぬけてうつくしいたきにいたります
flores, sustantivo, flowers, The forest floor was carpeted with colorful wildflowers., 花, はな, 森の床は色鮮やかな野の花で敷き詰められていました, もりのゆかはいろざやかなののはなでしきつめられていました
animal, sustantivo, animal, Many animals make their home in the forest., 動物, どうぶつ, 多くの動物が森を自宅としています, おおくのどうぶつがもりをじたくとしています
río, sustantivo, river, The forest is bordered by a crystal-clear river., 川, かわ, 森は透明な川に囲まれています, もりはとうめいなかわにかこまれています
musgo, sustantivo, moss, The trees in the forest were covered with green moss., 苔, こけ, 森の木々は緑の苔で覆われていました, もりのきぎはみどりのこけでおおわれていました
sombra, sustantivo, shadow, The forest provided welcome shade from the hot sun., 影, かげ, 森は熱い太陽から歓迎される日陰を提供しました, もりはあついたいようからかんげんされるひかげをていきょうしました
hongo, sustantivo, mushroom, Mushrooms grow abundantly in the forest during the rainy season., キノコ, きのこ, 雨季には森でキノコが豊富に生えます, うきにはもりできのこがほうふぶにはえます
aroma, sustantivo, aroma, The forest was filled with the sweet aroma of pine trees., 香り, かおり, 森は松の木の甘い香りで満たされていました, もりはまつのきのあまいかおりでみたされていました
brote, sustantivo, sprout, Spring brings new sprouts to the forest floor., 芽, め, 春は森の床に新しい芽をもたらします, はるはもりのゆかにあたらしいめをもたらします
luces, sustantivo, lights, The forest is magical with the twinkling lights filtering through the leaves., 光, ひかり, 葉を通してちらちらと光る光で森は魔法のようです, はをとおしてちらちらとひかるひかりでもりはまほうのようです
aves, sustantivo, birds, The forest echoed with the songs of various birds., 鳥, とり, 森はさまざまな鳥の歌声で響いていました, もりはさまざまなとりのうたごえでひびいていました
paz, sustantivo, peace, The forest exudes a sense of peace and tranquility., 平和, へいわ, 森は平和と静けさを感じさせます, もりはへいわとしずけさをかんじさせます
silencio, sustantivo, silence, The forest was enveloped in a serene silence., 静寂, せいじゃく, 森は静かな静寂に包まれていました, もりはしずかなせいじゃくにつつまれていました
setas, sustantivo, toadstools, Toadstools dotted the forest floor after the rain., キノコ, きのこ, 雨の後、キノコが森の床を点々としました, あめのあと、きのこがもりのゆかをてんてんとしました
raíces, sustantivo, roots, The roots of the trees spread deep into the forest floor., 根, ね, 木の根は深く森の床に広がっています, きのねはふかくもりのゆかにひろがっています
aventura, sustantivo, adventure, Exploring the forest was an exciting adventure for the children., 冒険, ぼうけん, 森を探検することは子供たちにとってワクワクする冒険でした, もりをたんけんすることはこどもたちにとってわくわくするぼうけんでした
follaje, sustantivo, foliage, The forest was ablaze with the colors of autumn foliage., 葉, は, 森は秋の葉の色で燃えていました, もりはあきのはのいろでもえていました
riachuelo, sustantivo, brook, A gentle brook meandered through the heart of the forest., 小川, おがわ, 穏やかな小川が森の中心を流れていました, おだやかなおがわがもりのちゅうしんをながれていました
brisa, sustantivo, breeze, The cool breeze rustled through the leaves of the forest., そよ風, そよかぜ, 涼しいそよ風が森の葉をかき鳴らしていました, すずしいそよかぜがもりのはをかきならしていました
criaturas, sustantivo, creatures, The forest is home to many magical creatures., 生き物, いきもの, 森は多くの魔法の生き物の住処です, もりはおおくのまほうのいきもののすみかです
ruinas, sustantivo, ruins, Deep in the forest lie the ancient ruins of a forgotten civilization., 廃墟, はいきょ, 深い森の奥には忘れられた文明の古代遺跡があります, ふかいもりのおくにはわすれられたぶんめいのこだいいせきがあります
fantasía, sustantivo, fantasy, The forest inspired many tales of fantasy and adventure., ファンタジー, ふぁんたじー, 森は多くのファンタジーと冒険の物語を生み出しました, もりはおおくのふぁんたじーとぼうけんのものがたりをうみだしました
encuentro, sustantivo, encounter, The forest is a place of unexpected encounters and discoveries., 出会い, であい, 森は予期せぬ出会いや発見の場所です, もりはよきせぬであいやはっけんのばしょです
camino, sustantivo, path, The winding path led deeper into the heart of the forest., 道, みち, 曲がりくねった道は森の中心部へと深く入っていきました, まがりくねったみちはもりのちゅうしんへとふかくはいっていきました
arroyo, sustantivo, stream, A babbling stream flowed through the forest., 小川, おがわ, せせらぎの小川が森を流れていました, せせらぎのおがわがもりをながれていました
musical, adjetivo, musical, The forest was filled with the musical chirping of birds., 音楽の, おんがくの, 森は鳥の楽しいさえずりで満たされていました, もりはとりのたのしいさえずりでみたされていました
misterioso, adjetivo, mysterious, The forest took on a mysterious aura as darkness fell., 神秘的な, しんぴてきな, 暗闇が訪れるにつれて森は神秘的なオーラを帯びてきました, くらやみがおとずれるにつれてもりはしんぴてきなおーらをおびてきました
verde, adjetivo, green, The forest canopy was a lush green in the spring., 緑の, みどりの, 森の天蓋は春には豊かな緑色でした, もりのてんがいははるにはゆたかなみどりいろでした
oscuro, adjetivo, dark, The forest became dark as night fell., 暗い, くらい, 森は夜になるにつれて暗くなりました, もりはよるになるにつれてくらくなりました
vibrante, adjetivo, vibrant, The forest was vibrant with the colors of autumn., 活気ある, かっきある, 森は秋の色彩で活気に満ちていました, もりはあきのしきさいでかっきにみちていました
mágico, adjetivo, magical, The forest seemed like a magical wonderland to the children., 魔法のような, まほうのような, 子供たちにとって森は魔法のような不思議な世界でした, こどもたちにとってもりはまほうのようなふしぎなせかいでした
misterioso, adjetivo, mysterious, The forest exuded a mysterious air as dusk settled in., 不思議な, ふしぎな, 夕暮れに森は神秘的な雰囲気を醸し出しました, ゆうぐれにもりはしんぴてきなふんいきをかもしだしました
pacífico, adjetivo, peaceful, The forest was a peaceful retreat away from the hustle and bustle of the city., 平和な, へいわな, 森は都会の喧騒から離れた平和な避難所でした, もりはとかいのけんそうからはなれたへいわなひなんじょでした
maravilloso, adjetivo, wonderful, The forest was a wonderful place to explore., 素晴らしい, すばらしい, 森は探検するのに素晴らしい場所でした, もりはたんけんするのにすばらしいばしょでした
sereno, adjetivo, serene, The forest was bathed in the serene light of dawn., 静かな, しずかな, 森は夜明けの静かな光に包まれていました, もりはよあけのしずかなひかりにつつまれていました
fragante, adjetivo, fragrant, The forest air was filled with the fragrant scent of wildflowers., 香り高い, かおりたかい, 森の空気は野の花の香り高い香りで満たされていました, もりのくうきはののはなのかおりたかいかおりでみたされていました
sorprendente, adjetivo, surprising, The forest was full of surprising discoveries., 驚くべき, おどろくべき, 森は驚くべき発見でいっぱいでした, もりはおどろくべきはっけんでいっぱいでした
