palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
bus, sustantivo, bus, The bus arrived late today., バス, ばす, 今日はバスが遅れました。, きょうはばすがおくれました。
conductor, sustantivo, driver, The driver greeted the passengers politely., 運転手, うんてんしゅ, 運転手は乗客に丁寧に挨拶しました。, うんてんしゅはじょうきゃくにていねいにあいさつしました。
tarifa, sustantivo, fare, Please pay the fare when you board the bus., 運賃, うんちん, バスに乗車する際に運賃をお支払いください。, ばすにじょうしゃするさいにうんちんをおしはらいください。
pasajero, sustantivo, passenger, The bus was crowded with passengers., 乗客, じょうきゃく, バスは乗客で混んでいました。, ばすはじょうきゃくでこんでいました。
boleto, sustantivo, ticket, Don't forget to buy your ticket before boarding., 切符, きっぷ, 乗車する前に切符を買うのを忘れないでください。, じょうしゃするまえにきっぷをかうのをわすれないでください。
asiento, sustantivo, seat, I prefer to sit by the window when I'm on the bus., 席, せき, バスに乗っている時は窓際に座るのが好きです。, ばすにのっているときはまどぎわにすわるのがすきです。
estación, sustantivo, station, The bus station is crowded in the mornings., 駅, えき, 朝はバス停が混雑しています。, あさはばすていがこんざつしています。
ruido, sustantivo, noise, The bus was filled with the noise of conversation., 騒音, そうおん, バスは会話の騒音で満ちていました。, ばすはかいわのそうおんでみちていました。
ventana, sustantivo, window, I always sit next to the window on the bus., 窓, まど, 私はいつもバスの窓際に座ります。, わたしはいつもばすのまどぎわにすわります。
hora, sustantivo, hour, The bus arrives every hour., 時間, じかん, バスは1時間ごとに到着します。, ばすはいちじかんごとにとうちゃくします。
parada, sustantivo, bus stop, The bus stop is just around the corner., バス停, ばすてい, バス停はすぐ角を曲がったところにあります。, ばすていはすぐかどをまがったところにあります。
billete, sustantivo, ticket, I need to buy a bus ticket for tomorrow's trip., チケット, ちけっと, 明日の旅行のためにバスのチケットを買わなければなりません。, あしたのりょこうのためにばすのちけっとをかわなければなりません。
tráfico, sustantivo, traffic, The bus was delayed due to heavy traffic., 交通, こうつう, バスは交通渋滞のため遅れました。, ばすはこうつうじゅうたいのためおくれました。
conductora, sustantivo, driver (female), The conductora helped an elderly passenger board., 運転手, うんてんしゅ, 運転手は年配の乗客を乗せるのを手伝いました。, うんてんしゅはねんぱいのじょうきゃくをのせるのをてつだいました。
boletería, sustantivo, ticket booth, You can buy your tickets at the boletería., 切符売り場, きっぷうりば, 切符は切符売り場で買えます。, きっぷはきっぷうりばでかえます。
retraso, sustantivo, delay, We experienced a 30-minute delay on the bus today., 遅れ, おくれ, 今日はバスで30分の遅れがありました。, きょうはばすで30ぷんのおくれがありました。
viaje, sustantivo, journey, The bus journey was long but comfortable., 旅, たび, バスの旅は長いですが快適です。, ばすのたびはながいですがかいてきです。
embarque, sustantivo, boarding, Please have your ticket ready for boarding., 搭乗, とうじょう, 搭乗の際にチケットをご用意ください。, とうじょうのさいにちけっとをごよういください。
ventilación, sustantivo, ventilation, The bus has good ventilation., 換気, かんき, バスは換気が良いです。, ばすはかんきがいいです。
boleto electrónico, sustantivo, e-ticket, I prefer using an e-ticket when riding the bus., 電子チケット, でんしちけっと, バスに乗る時は電子チケットを使うのが好きです。, ばすにのるときはでんしちけっとをつかうのがすきです。
información, sustantivo, information, You can find bus information at the station., 情報, じょうほう, 駅でバスの情報を見つけることができます。, えきでばすのじょうほうをみつけることができます。
cobrador, sustantivo, ticket collector, The ticket collector was checking everyone's tickets., 切符集め人, きっぷあつめにん, 切符集め人は皆のチケットをチェックしていました。, きっぷあつめにんはみなのちけっとをチェックしていました。
descenso, sustantivo, descent, Please remain seated until the bus comes to a complete descent., 下降, かこう, バスが完全に降りるまで座っていてください。, ばすがかんぜんにおりるまですわっていてください。
cinturón, sustantivo, seatbelt, It's important to wear your seatbelt on the bus., シートベルト, しーとべると, バスではシートベルトを着用することが重要です。, ばすではしーとべるとをちゃくようすることがじゅうようです。
rueda, sustantivo, wheel, The bus has six wheels., 車輪, しゃりん, バスは6つの車輪を持っています。, ばすは6つのしゃりんをもっています。
motor, sustantivo, engine, The bus engine was making strange noises., エンジン, えんじん, バスのエンジンから奇妙な音がしていました。, ばすのえんじんからきみょうなおとがしていました。
escalera, sustantivo, staircase, Please be careful on the bus staircase., 階段, かいだん, バスの階段で注意してください。, ばすのかいだんでちゅういしてください。
espacio, sustantivo, space, There's not much space left on the bus., スペース, すぺーす, バスにはあまりスペースが残っていません。, ばすにはあまりすぺーすがのこっていません。
amabilidad, sustantivo, kindness, The bus driver showed great kindness to the passengers., 親切, しんせつ, バスの運転手は乗客に大きな親切を示しました。, ばすのうんてんしゅはじょうきゃくにおおきなしんせつをしめしました。
advertencia, sustantivo, warning, There was a warning sign on the bus door., 警告, けいこく, バスのドアには警告サインがありました。, ばすのどあにはけいこくさいんがありました。
seguridad, sustantivo, safety, Safety is our priority on the bus., 安全, あんぜん, バスでは安全が最優先です。, ばすではあんぜんがさいゆうせんです。
tarjeta, sustantivo, card, I always use my bus card to pay the fare., カード, かーど, 運賃を支払うためにいつもバスカードを使います。, うんちんをしはらうためにいつもばすかーどをつかいます。
horario, sustantivo, schedule, Please check the bus schedule before leaving., 時刻表, じこくひょう, 出発前にバスの時刻表を確認してください。, しゅっぱつまえにばすのじこくひょうをかくにんしてください。
servicio, sustantivo, service, The bus service runs until midnight., サービス, さーびす, バスのサービスは深夜まで運行しています。, ばすのさーびすはしんやまでうんこうしています。
transporte, sustantivo, transportation, Public transportation includes buses and trains., 交通機関, こうつうきかん, 公共交通機関にはバスや電車が含まれます。, こうきょうこうつうきかんにはばすやでんしゃがふくまれます。
conexión, sustantivo, connection, The bus makes a connection with the train at the station., 接続, せつぞく, バスは駅で電車と接続します。, ばすはえきででんしゃとせつぞくします。
