palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
campo, sustantivo, field, The field was full of colorful flowers., 田舎, いなか, その田舎には色とりどりの花がいっぱいでした。, そのいなかにはいろとりどりのはながいっぱいでした。
granja, sustantivo, farm, They visited a traditional farm in the countryside., 農場, のうじょう, 彼らは田舎にある伝統的な農場を訪れました。, かれらはいなかにあるでんとうてきなのうじょうをたずねました。
cultivo, sustantivo, cultivation, The cultivation of crops requires hard work., 栽培, さいばい, 作物の栽培には努力が必要です。, さくもつのさいばいにはどりょくがひつようです。
agricultor, sustantivo, farmer, The farmer works from sunrise to sunset., 農家, のうか, その農家は日の出から日没まで働いています。, そののうかはひのでからにちぼつまではたらいています。
tierra, sustantivo, land, The land was fertile and ready for planting., 土地, とち, その土地は肥沃で、植える準備ができていました。, そのとちはひよくで、うえるじゅんびができていました。
semilla, sustantivo, seed, He planted the seed and waited for it to grow., 種, たね, 彼は種を植えて、それが育つのを待っていました。, かれはたねをうえて、それがそだつのをまっていました。
cosecha, sustantivo, harvest, The harvest season is a busy time for farmers., 収穫, しゅうかく, 収穫シーズンは農家にとって忙しい時期です。, しゅうかくしーずんはのうかにとっていそがしいじきです。
tractor, sustantivo, tractor, He drove the tractor across the field., トラクター, とらくたー, 彼はトラクターを畑を横断しました。, かれはとらくたーをはたけをおうだんしました。
huerto, sustantivo, orchard, They went apple-picking in the orchard., 果樹園, かじゅえん, 彼らは果樹園でりんごを収穫しに行きました。, かれらはかじゅえんでりんごをしゅうかくしにいきました。
campo, sustantivo, countryside, They enjoyed a picnic in the countryside., 田舎, いなか, 彼らは田舎でピクニックを楽しみました。, かれらはいなかでぴくにっくをたのしみました。
pasto, sustantivo, grass, The cows grazed peacefully on the grass., 草, くさ, 牛は牧草地で平和に草を食べていました。, うしはぼくそうちでへいわにくさをたべていました。
cabaña, sustantivo, cabin, They stayed in a cozy cabin in the mountains., 小屋, こや, 彼らは山の中にある居心地の良い小屋に滞在しました。, かれらはやまのなかにあるいごこちのよいこやにたいざいしました。
montaña, sustantivo, mountain, The mountain air was crisp and refreshing., 山, やま, 山の空気はさわやかで清涼でした。, やまのくうきはさわやかでせいりょうでした。
